집계년도,시군명,발생건수(건),사망자수(명),부상자수(명),,,
2024,의왕시,429,2,639,,,
2023,의왕시,364,4,567,,,https://data.gg.go.kr/portal/data/village/selectServicePage.do?page=1&rows=10&sortColumn=VIEW_CNT&sortDirection=DESC&infId=ESFYUGPHCO3ZGP58V1K018796267&infSeq=1&order=3&sigunNm=%EC%9D%98%EC%99%95%EC%8B%9C&sigunFlag=41430&searchWord=%EA%B5%90%ED%86%B5%EC%82%AC%EA%B3%A0
2022,의왕시,300,10,471,,,
2021,의왕시,433,3,624,,,
2020,의왕시,414,5,615,,,
2019,의왕시,488,10,780,,,
2018,의왕시,444,5,726,,,
2017,의왕시,470,5,721,,,
2016,의왕시,527,4,821,,,
