시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반대분류명,법규위반내용,도로형태_대분류,도로형태,가해자 당사자 종별,당사자1_차종,피해자 당사자 종별,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
의왕시,2013,2013-09-10 00시,야간,화요일,차량단독,기타,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,승용차,대형,없음,없음,1,0,1,0,0,37.34591934,126.9702823
의왕시,2013,2013-06-20 22시,야간,목요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,이륜차,중형,1,0,1,0,0,37.38842972,126.9807716
의왕시,2013,2013-04-17 12시,주간,수요일,차대차,기타,운전자법규위반,과속,단일로,기타단일로,승용차,소형,자전거,자전거,2,1,6,0,3,37.39360039,127.0161419
의왕시,2013,2013-04-11 20시,야간,목요일,차대사람,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,대형,보행자,보행자,1,0,1,0,0,37.39275063,126.9815326
의왕시,2013,2013-03-09 16시,주간,토요일,차대차,기타,운전자법규위반,신호위반,교차로,교차로내,승용차,대형,원동기장치자전거,원동기장치자전거,1,0,1,0,0,37.33492883,126.9617012
의왕시,2012,2012-11-16 06시,주간,금요일,차대차,정면충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,승용차,중형,화물차,소형,1,2,6,0,3,37.36777086,126.9667407
의왕시,2012,2012-11-14 16시,주간,수요일,차대차,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,승합차,소형,1,8,9,0,0,37.38573516,126.9954752
의왕시,2012,2012-07-18 17시,주간,수요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,소형,1,2,5,0,2,37.34275112,126.9774058
의왕시,2012,2012-05-21 14시,주간,월요일,차량단독,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,대형,없음,없음,1,0,1,0,0,37.32854553,126.9554596
의왕시,2012,2012-05-11 06시,주간,금요일,차량단독,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,원동기장치자전거,없음,없음,1,0,1,0,0,37.38921622,126.987499
의왕시,2012,2012-03-31 20시,야간,토요일,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0,37.34331179,126.9798631
의왕시,2012,2012-03-17 05시,야간,토요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,1,0,1,0,0,37.3498785,126.9727724
의왕시,2012,2012-01-12 07시,주간,목요일,차대사람,보도통행중,운전자법규위반,신호위반,단일로,횡단보도상,화물차,소형,보행자,보행자,1,0,1,0,0,37.34194304,126.9781227
