핫스팟ID,유형,위도,경도,최근접CCTV거리_m,최근접CCTV_위도,최근접CCTV_경도,사고년도,발생건수,사상자수,사망자수,risk_score_raw,risk_percentile,hotspot_top20_flag,source,커버여부_250m
16,사망밀집,37.325,126.958,405.65,37.321361,126.957682,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
58,사망밀집,37.393,126.982,387.23,37.393462,126.986345,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
56,사망밀집,37.391,127.0,363.74,37.388849,126.996898,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
46,사망밀집,37.386,126.995,358.45,37.388849,126.996898,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
30,사망밀집,37.346,126.97,348.21,37.343017,126.971197,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
57,사망밀집,37.392,127.011,335.98,37.393261,127.014456,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
47,사망밀집,37.386,126.996,326.59,37.388849,126.996898,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
63,사망밀집,37.394,127.018,323.68,37.393261,127.014456,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
61,사망밀집,37.393,127.018,314.4,37.393261,127.014456,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
6,사고다발,37.35652926,126.966425,290.15,37.359127,126.966116,2014.0,4.0,4.0,0.0,8.8,89.39393939393939,True,사고다발지현황.csv,미커버
39,사망밀집,37.368,126.967,280.25,37.365484,126.966817,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
11,사망밀집,37.319,126.958,264.01,37.321361,126.957682,미상,미상,1.0,1.0,3.0,43.93939393939394,False,사망교통사고현황.csv,미커버
