시군명,정류소명,정류소id,위도,경도,최근접CCTV거리_m
의왕시,부곡IC(경유),277103222,37.3237667,126.9603333,355.74364280848715
의왕시,가구단지입구,226000045,37.36085,126.9627,357.54848988305423
의왕시,청계마을5단지,226000337,37.391,126.9999667,361.52662977004803
의왕시,청계마을3단지,226000338,37.3916833,126.9989167,362.1127290677292
의왕시,의왕초등학교,226000004,37.3621,126.9678833,365.6378018918741
의왕시,월암종점,226000109,37.3024167,126.95635,371.65387786517806
의왕시,새터마을,226000275,37.3899,127.01445,373.6731141055309
의왕시,컨테이너기지,226000094,37.33455,126.9609,376.5537979038109
의왕시,고천동주민센터,226000049,37.3462833,126.9751833,377.2584099580958
의왕시,숲속마을1단지,226000205,37.3968667,126.98615,379.02777049327545
의왕시,삼호1차.까치아파트,226000366,37.3167833,126.95545,383.2250017536542
의왕시,숲속마을1단지,226000204,37.3969333,126.9865,386.2875172843947
의왕시,새터마을종점,226000274,37.39075,127.0114167,387.3482039858
의왕시,월암교,226000107,37.3058167,126.95735,388.83088339877514
의왕시,부곡IC(경유),277103223,37.3239333,126.96075,394.26658648382215
의왕시,삼호2차.청솔아파트,226000383,37.3182167,126.9556,395.1001049294837
의왕시,도룡마을,226000105,37.3103,126.95815,399.41623473777327
의왕시,휴먼시아6단지,226000217,37.39035,127.0010333,401.65411683090326
의왕시,삼호2차.청솔아파트,226000384,37.31815,126.9556,401.67760810730897
의왕시,월암종점,226000070,37.30295,126.9558667,403.06622022405753
의왕시,월암교,226000072,37.3059667,126.9573,403.9918367480328
의왕시,월암ic.월암동,226000106,37.30655,126.95835,404.3956618077005
의왕시,고천파출소,226000125,37.3459,126.9749333,409.746915667917
의왕시,도룡마을,226000074,37.3101833,126.95785,411.1302840326098
의왕시,휴먼시아6단지,226000174,37.3903,127.0012167,414.2497430745674
의왕시,잿말,226000108,37.3046167,126.9560167,414.61202890488227
의왕시,휴먼시아3단지,226000172,37.3923833,126.9984667,416.7069501516064
의왕시,컨테이너기지,226000085,37.3349333,126.9611667,417.1989539129844
의왕시,잿말,226000071,37.3045,126.9559167,418.58421636468074
의왕시,월암ic.월암동,226000073,37.3065833,126.9579833,423.14646587167505
의왕시,해태제과사거리,226000170,37.36105,126.9619833,423.2184479265074
의왕시,월암2동,226000347,37.3068833,126.9621,425.77468160398615
의왕시,학의JC(경유),277103158,37.3876667,127.0015167,428.710579747511
의왕시,동아에코빌아파트,226000054,37.3917167,126.9820167,428.7492533482086
의왕시,학의JC(경유),277103156,37.3869833,127.0011667,430.43100412724476
의왕시,한국철도기술연구원,226000183,37.31325,126.9529167,436.26212678608533
의왕시,의왕소방서.원효솔거아파트,226000194,37.3443667,126.97585,437.85919111894333
의왕시,한국철도기술연구원,226000184,37.3130333,126.9528667,445.09677177736745
