대상구분,기준거리_m,커버건수,전체건수,미커버건수,커버율_pct,미커버율_pct
버스정류소,300,89,389,300,22.9,77.1
버스정류소,600,193,389,196,49.6,50.4
버스정류소,1000,284,389,105,73.0,27.0
