위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.3459,126.9749333,정류소,,,150.0,409.746915667917,버스정류장 150m 내 CCTV 없음,WGS84,37.3459,126.9749333,126.9749333,37.3459,EPSG:4326,POINT (126.9749333 37.3459)
37.40185,127.00175,정류소,,,150.0,1473.8106125136264,버스정류장 150m 내 CCTV 없음,WGS84,37.40185,127.00175,127.00175,37.40185,EPSG:4326,POINT (127.00175 37.40185)
37.3313833,126.9551667,정류소,,,150.0,252.6860357781548,버스정류장 150m 내 CCTV 없음,WGS84,37.3313833,126.9551667,126.9551667,37.3313833,EPSG:4326,POINT (126.9551667 37.3313833)
37.3267667,126.9597167,정류소,,,150.0,627.4735758819121,버스정류장 150m 내 CCTV 없음,WGS84,37.3267667,126.9597167,126.9597167,37.3267667,EPSG:4326,POINT (126.9597167 37.3267667)
37.3316333,126.9550333,정류소,,,150.0,241.2144322871977,버스정류장 150m 내 CCTV 없음,WGS84,37.3316333,126.9550333,126.9550333,37.3316333,EPSG:4326,POINT (126.9550333 37.3316333)
37.3267167,126.9596667,정류소,,,150.0,620.8850509804065,버스정류장 150m 내 CCTV 없음,WGS84,37.3267167,126.9596667,126.9596667,37.3267167,EPSG:4326,POINT (126.9596667 37.3267167)
37.33615,126.9644667,정류소,,,150.0,738.2066868803732,버스정류장 150m 내 CCTV 없음,WGS84,37.33615,126.9644667,126.9644667,37.33615,EPSG:4326,POINT (126.9644667 37.33615)
37.3360167,126.96465,정류소,,,150.0,746.0278218257872,버스정류장 150m 내 CCTV 없음,WGS84,37.3360167,126.96465,126.96465,37.3360167,EPSG:4326,POINT (126.96465 37.3360167)
37.3835167,126.9805,정류소,,,150.0,1220.4310499822666,버스정류장 150m 내 CCTV 없음,WGS84,37.3835167,126.9805,126.9805,37.3835167,EPSG:4326,POINT (126.9805 37.3835167)
37.3830667,127.0107167,정류소,,,150.0,1018.7344512648764,버스정류장 150m 내 CCTV 없음,WGS84,37.3830667,127.0107167,127.0107167,37.3830667,EPSG:4326,POINT (127.0107167 37.3830667)
37.38305,127.01085,정류소,,,150.0,1030.4978262531956,버스정류장 150m 내 CCTV 없음,WGS84,37.38305,127.01085,127.01085,37.38305,EPSG:4326,POINT (127.01085 37.38305)
37.3899,126.9783167,정류소,,,150.0,812.2976742427854,버스정류장 150m 내 CCTV 없음,WGS84,37.3899,126.9783167,126.9783167,37.3899,EPSG:4326,POINT (126.9783167 37.3899)
37.3901167,126.9781833,정류소,,,150.0,811.2810506752284,버스정류장 150m 내 CCTV 없음,WGS84,37.3901167,126.9781833,126.9781833,37.3901167,EPSG:4326,POINT (126.9781833 37.3901167)
37.3815667,126.9756,정류소,,,150.0,1628.0412186671128,버스정류장 150m 내 CCTV 없음,WGS84,37.3815667,126.9756,126.9756,37.3815667,EPSG:4326,POINT (126.9756 37.3815667)
37.3578,126.9689667,정류소,,,150.0,292.00754312267173,버스정류장 150m 내 CCTV 없음,WGS84,37.3578,126.9689667,126.9689667,37.3578,EPSG:4326,POINT (126.9689667 37.3578)
