시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반대분류명,법규위반내용,도로형태_대분류,도로형태,가해자 당사자 종별,당사자1_차종,피해자 당사자 종별,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,위도,경도,Unnamed: 22,Unnamed: 23,latitude,longitude,x,y,epsg,wkt
의왕시,2021,2021-07-28 13시,주간,수요일,차대차,추돌,,,단일로,기타단일로,건설기계,,특수차,,2,1,4,0,1,37.35469612,126.96969,,,37.35469612,126.96969,126.96969,37.35469612,EPSG:4326,POINT (126.96969 37.35469612)
의왕시,2021,2021-02-26 15시,주간,금요일,차대차,기타,,,교차로,교차로내,자전거,,승용차,,1,0,1,0,0,37.34978983,126.9731004,,,37.34978983,126.9731004,126.9731004,37.34978983,EPSG:4326,POINT (126.9731004 37.34978983)
의왕시,2020,2020-10-27 09시,주간,화요일,차대차,측면충돌,,,교차로,교차로부근,승용차,,자전거,,1,0,1,0,0,37.34193193,126.9776486,,,37.34193193,126.9776486,126.9776486,37.34193193,EPSG:4326,POINT (126.9776486 37.34193193)
의왕시,2020,2020-10-18 02시,야간,일요일,차대사람,차도통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.39435712,127.020464,,,37.39435712,127.020464,127.020464,37.39435712,EPSG:4326,POINT (127.020464 37.39435712)
의왕시,2020,2020-09-17 01시,야간,목요일,차대차,추돌,,,단일로,기타단일로,승용차,,화물차,,1,1,6,0,4,37.31834533,126.9661082,,,37.31834533,126.9661082,126.9661082,37.31834533,EPSG:4326,POINT (126.9661082 37.31834533)
의왕시,2020,2020-04-26 20시,야간,일요일,차량단독,공작물충돌,,,교차로,교차로부근,이륜차,,없음,,1,0,1,0,0,37.37427123,127.0065303,,,37.37427123,127.0065303,127.0065303,37.37427123,EPSG:4326,POINT (127.0065303 37.37427123)
의왕시,2020,2020-04-06 05시,야간,월요일,차대사람,횡단중,,,교차로,교차로내,승용차,,보행자,,1,0,1,0,0,37.34961774,126.974942,,https://data.gg.go.kr/portal/data/village/selectServicePage.do?page=1&rows=10&sortColumn=&sortDirection=&infId=VRQR1HK59QW7XR7XI7UW27487807&infSeq=1&order=&sigunNm=%EC%9D%98%EC%99%95%EC%8B%9C&sigunFlag=41430&searchWord=%EA%B5%90%ED%86%B5%EC%82%AC%EA%B3%A0,37.34961774,126.974942,126.974942,37.34961774,EPSG:4326,POINT (126.974942 37.34961774)
의왕시,2019,2019-12-05 21시,야간,목요일,차대사람,차도통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.33382191,126.958142,,,37.33382191,126.958142,126.958142,37.33382191,EPSG:4326,POINT (126.958142 37.33382191)
의왕시,2019,2019-10-17 07시,주간,목요일,차대차,기타,,,교차로,교차로횡단보도내,자전거,,화물차,,1,0,1,0,0,37.31873995,126.9577424,,,37.31873995,126.9577424,126.9577424,37.31873995,EPSG:4326,POINT (126.9577424 37.31873995)
의왕시,2019,2019-09-25 14시,주간,수요일,차량단독,공작물충돌,,,단일로,기타단일로,승합차,,없음,,1,7,19,4,7,37.38202147,126.9997134,,,37.38202147,126.9997134,126.9997134,37.38202147,EPSG:4326,POINT (126.9997134 37.38202147)
의왕시,2019,2019-09-05 06시,주간,목요일,차대사람,횡단중,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.34517001,126.9760907,,,37.34517001,126.9760907,126.9760907,37.34517001,EPSG:4326,POINT (126.9760907 37.34517001)
의왕시,2019,2019-07-07 04시,야간,일요일,차대차,추돌,,,단일로,기타단일로,승용차,,화물차,,1,0,1,0,0,37.32254276,126.9634487,,,37.32254276,126.9634487,126.9634487,37.32254276,EPSG:4326,POINT (126.9634487 37.32254276)
의왕시,2019,2019-06-24 13시,주간,월요일,차대차,기타,,,교차로,교차로횡단보도내,승합차,,자전거,,1,0,1,0,0,37.36003882,126.9671342,,,37.36003882,126.9671342,126.9671342,37.36003882,EPSG:4326,POINT (126.9671342 37.36003882)
의왕시,2019,2019-06-16 23시,야간,일요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.3607199,126.9928874,,,37.3607199,126.9928874,126.9928874,37.3607199,EPSG:4326,POINT (126.9928874 37.3607199)
의왕시,2019,2019-05-25 00시,야간,토요일,차대사람,차도통행중,,,단일로,터널안,화물차,,보행자,,1,0,1,0,0,37.3946809,127.0384024,,,37.3946809,127.0384024,127.0384024,37.3946809,EPSG:4326,POINT (127.0384024 37.3946809)
의왕시,2019,2019-05-20 11시,주간,월요일,차대사람,횡단중,,,교차로,교차로횡단보도내,화물차,,보행자,,1,0,1,0,0,37.38411184,126.9786552,,,37.38411184,126.9786552,126.9786552,37.38411184,EPSG:4326,POINT (126.9786552 37.38411184)
의왕시,2019,2019-03-18 13시,주간,월요일,차대차,추돌,,,단일로,기타단일로,화물차,,특수차,,1,1,2,0,0,37.39261467,127.0175604,,,37.39261467,127.0175604,127.0175604,37.39261467,EPSG:4326,POINT (127.0175604 37.39261467)
