시군명,사고년도,사고유형구분,다발지식별자,다발지역그룹식별자,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보,latitude,longitude,x,y,epsg,wkt
의왕시,2019.0,보행노인사고다발지,6614398,2020027.0,4143010700.0,41430001.0,경기도 의왕시1,경기도 의왕시 내손동(공용주차장앞교차로 부근),2.0,2.0,1.0,1.0,0.0,0.0,37.38316592,126.9775197,"{""type"":""Polygon"",""coordinates"":[[[126.97931629,37.38316592],[126.97928177,37.38288741],[126.97917953,37.3826196],[126.9790135,37.38237279],[126.97879007,37.38215645],[126.97851781,37.38197891],[126.9782072,37.38184698],[126.97787017,37.38176574],[126.97751966,37.38173831],[126.97716915,37.38176574],[126.97683212,37.38184698],[126.97652151,37.38197891],[126.97624925,37.38215645],[126.97602582,37.38237279],[126.97585979,37.3826196],[126.97575755,37.38288741],[126.97572303,37.38316592],[126.97575755,37.38344442],[126.97585979,37.38371223],[126.97602582,37.38395904],[126.97624925,37.38417537],[126.97652151,37.3843529],[126.97683212,37.38448483],[126.97716915,37.38456606],[126.97751966,37.38459349],[126.97787017,37.38456606],[126.9782072,37.38448483],[126.97851781,37.3843529],[126.97879007,37.38417537],[126.9790135,37.38395904],[126.97917953,37.38371223],[126.97928177,37.38344442],[126.97931629,37.38316592]]]}",37.38316592,126.9775197,126.9775197,37.38316592,EPSG:4326,POINT (126.9775197 37.38316592)
의왕시,2018.0,보행노인사고다발지,6506182,2019036.0,4143010700.0,41430001.0,경기도 의왕시1,경기도 의왕시 내손동(민백사거리 부근),3.0,3.0,0.0,3.0,0.0,0.0,37.38872959,126.9731669,"{""type"":""Polygon"",""coordinates"":[[[126.97496356,37.38872959],[126.97492904,37.3884511],[126.9748268,37.38818331],[126.97466077,37.38793652],[126.97443734,37.3877202],[126.97416508,37.38754267],[126.97385447,37.38741075],[126.97351743,37.38732952],[126.97316693,37.38730209],[126.97281642,37.38732952],[126.97247939,37.38741075],[126.97216877,37.38754267],[126.97189652,37.3877202],[126.97167309,37.38793652],[126.97150706,37.38818331],[126.97140482,37.3884511],[126.9713703,37.38872959],[126.97140482,37.38900808],[126.97150706,37.38927586],[126.97167309,37.38952265],[126.97189652,37.38973897],[126.97216877,37.38991649],[126.97247939,37.3900484],[126.97281642,37.39012963],[126.97316693,37.39015706],[126.97351743,37.39012963],[126.97385447,37.3900484],[126.97416508,37.38991649],[126.97443734,37.38973897],[126.97466077,37.38952265],[126.9748268,37.38927586],[126.97492904,37.38900808],[126.97496356,37.38872959]]]}",37.38872959,126.9731669,126.9731669,37.38872959,EPSG:4326,POINT (126.9731669 37.38872959)
의왕시,2017.0,보행어린이사고다발지,6395836,2018028.0,4143010300.0,41430001.0,경기도 의왕시1,경기도 의왕시 삼동(우성5차아파트정문 부근),4.0,4.0,0.0,3.0,1.0,0.0,37.31763048,126.9526195,"{""type"":""Polygon"",""coordinates"":[[[126.95441612,37.31763048],[126.9543816,37.31735172],[126.95427936,37.31708368],[126.95411333,37.31683665],[126.9538899,37.31662013],[126.95361764,37.31644243],[126.95330703,37.31631039],[126.95296999,37.31622908],[126.95261949,37.31620163],[126.95226898,37.31622908],[126.95193195,37.31631039],[126.95162133,37.31644243],[126.95134908,37.31662013],[126.95112564,37.31683665],[126.95095962,37.31708368],[126.95085738,37.31735172],[126.95082286,37.31763048],[126.95085738,37.31790923],[126.95095962,37.31817727],[126.95112564,37.31842429],[126.95134908,37.31864081],[126.95162133,37.3188185],[126.95193195,37.31895054],[126.95226898,37.31903185],[126.95261949,37.3190593],[126.95296999,37.31903185],[126.95330703,37.31895054],[126.95361764,37.3188185],[126.9538899,37.31864081],[126.95411333,37.31842429],[126.95427936,37.31817727],[126.9543816,37.31790923],[126.95441612,37.31763048]]]}",37.31763048,126.9526195,126.9526195,37.31763048,EPSG:4326,POINT (126.9526195 37.31763048)
의왕시,2016.0,보행노인사고다발지,6250873,2017029.0,4143010700.0,41430001.0,경기도 의왕시1,경기도 의왕시 내손동((대우아파트앞교차로) 부근),3.0,3.0,0.0,3.0,0.0,0.0,37.38807233,126.9827797,"{""type"":""Polygon"",""coordinates"":[[[126.98457632,37.38807233],[126.9845418,37.38779384],[126.98443956,37.38752605],[126.98427353,37.38727925],[126.9840501,37.38706293],[126.98377784,37.3868854],[126.98346723,37.38675349],[126.9831302,37.38667225],[126.98277969,37.38664482],[126.98242919,37.38667225],[126.98209215,37.38675349],[126.98178154,37.3868854],[126.98150928,37.38706293],[126.98128585,37.38727925],[126.98111982,37.38752605],[126.98101758,37.38779384],[126.98098306,37.38807233],[126.98101758,37.38835082],[126.98111982,37.38861861],[126.98128585,37.3888654],[126.98150928,37.38908172],[126.98178154,37.38925924],[126.98209215,37.38939116],[126.98242919,37.38947239],[126.98277969,37.38949982],[126.9831302,37.38947239],[126.98346723,37.38939116],[126.98377784,37.38925924],[126.9840501,37.38908172],[126.98427353,37.3888654],[126.98443956,37.38861861],[126.9845418,37.38835082],[126.98457632,37.38807233]]]}",37.38807233,126.9827797,126.9827797,37.38807233,EPSG:4326,POINT (126.9827797 37.38807233)
의왕시,2015.0,보행어린이사고다발지,6165513,2016044.0,4143010500.0,41430001.0,경기도 의왕시1,경기도 의왕시 오전동((동백아파트앞교차로) 부근),3.0,3.0,0.0,2.0,1.0,0.0,37.35581743,126.9704951,"{""type"":""Polygon"",""coordinates"":[[[126.97229172,37.35581743],[126.9722572,37.35553882],[126.97215496,37.35527092],[126.97198893,37.35502401],[126.9717655,37.3548076],[126.97149324,37.35462999],[126.97118263,37.35449802],[126.97084559,37.35441675],[126.97049509,37.35438931],[126.97014458,37.35441675],[126.96980755,37.35449802],[126.96949693,37.35462999],[126.96922468,37.3548076],[126.96900124,37.35502401],[126.96883522,37.35527092],[126.96873298,37.35553882],[126.96869846,37.35581743],[126.96873298,37.35609604],[126.96883522,37.35636395],[126.96900124,37.35661084],[126.96922468,37.35682725],[126.96949693,37.35700485],[126.96980755,37.35713682],[126.97014458,37.35721809],[126.97049509,37.35724553],[126.97084559,37.35721809],[126.97118263,37.35713682],[126.97149324,37.35700485],[126.9717655,37.35682725],[126.97198893,37.35661084],[126.97215496,37.35636395],[126.9722572,37.35609604],[126.97229172,37.35581743]]]}",37.35581743,126.9704951,126.9704951,37.35581743,EPSG:4326,POINT (126.9704951 37.35581743)
의왕시,2014.0,자전거사고다발지,6095560,2015046.0,4143010500.0,41430001.0,경기도 의왕시1,경기도 의왕시 오전동(나원교통(주) 부근),4.0,4.0,0.0,0.0,2.0,2.0,37.35652926,126.966425,"{""type"":""Polygon"",""coordinates"":[[[126.9680213,37.3578035],[126.9676793,37.3580276],[126.967289,37.3581941],[126.9668655,37.3582967],[126.966425,37.3583313],[126.9659846,37.3582967],[126.9655611,37.3581941],[126.9651708,37.3580276],[126.9648287,37.3578035],[126.964548,37.3575304],[126.9643394,37.3572189],[126.9642109,37.3568808],[126.9641676,37.3565292],[126.9642109,37.3561777],[126.9643394,37.3558396],[126.964548,37.3555281],[126.9648288,37.355255],[126.9651709,37.3550309],[126.9655612,37.3548644],[126.9659846,37.3547618],[126.966425,37.3547272],[126.9668654,37.3547618],[126.9672889,37.3548644],[126.9676792,37.3550309],[126.9680213,37.355255],[126.968302,37.3555281],[126.9685107,37.3558396],[126.9686391,37.3561777],[126.9686825,37.3565292],[126.9686392,37.3568808],[126.9685107,37.3572189],[126.9683021,37.3575304],[126.9680213,37.3578035]]]}",37.35652926,126.966425,126.966425,37.35652926,EPSG:4326,POINT (126.966425 37.35652926)
의왕시,2012.0,무단횡단사고다발지,167212,2013114.0,4143010500.0,411351001.0,경기 의왕1,경기도 의왕시 오전동(신나자로삼거리 부근),5.0,5.0,0.0,3.0,2.0,0.0,37.35880172,126.9654469,"{""type"":""Polygon"",""coordinates"":[[[126.9678414,37.3607131],[126.9674374,37.3609885],[126.9669843,37.3612102],[126.9664933,37.3613725],[126.9659766,37.3614715],[126.9654469,37.3615048],[126.9649171,37.3614715],[126.9644004,37.3613725],[126.9639095,37.3612102],[126.9634564,37.3609885],[126.9630523,37.3607131],[126.9627072,37.3603905],[126.9624296,37.3600289],[126.9622262,37.359637],[126.9621022,37.3592245],[126.9620605,37.3588017],[126.9621023,37.3583788],[126.9622263,37.3579664],[126.9624297,37.3575745],[126.9627073,37.3572129],[126.9630524,37.3568903],[126.9634565,37.3566149],[126.9639096,37.3563932],[126.9644005,37.3562309],[126.9649171,37.3561319],[126.9654469,37.3560986],[126.9659766,37.3561319],[126.9664933,37.3562309],[126.9669842,37.3563932],[126.9674372,37.3566149],[126.9678413,37.3568903],[126.9681864,37.3572129],[126.9684641,37.3575745],[126.9686674,37.3579664],[126.9687915,37.3583788],[126.9688332,37.3588017],[126.9687915,37.3592245],[126.9686675,37.359637],[126.9684641,37.3600289],[126.9681865,37.3603905],[126.9678414,37.3607131]]]}",37.35880172,126.9654469,126.9654469,37.35880172,EPSG:4326,POINT (126.9654469 37.35880172)
