위도,경도,유형,source,사고년도,발생건수,사상자수,사망자수,risk_score_raw,risk_percentile,hotspot_top20_flag,crs,latitude,longitude,x,y,epsg,wkt
37.35,126.975,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.35,126.975,126.975,37.35,EPSG:4326,POINT (126.975 37.35)
37.354,126.97,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.354,126.97,126.97,37.354,EPSG:4326,POINT (126.97 37.354)
37.355,126.97,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.355,126.97,126.97,37.355,EPSG:4326,POINT (126.97 37.355)
37.359,126.965,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.359,126.965,126.965,37.359,EPSG:4326,POINT (126.965 37.359)
37.36,126.967,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.36,126.967,126.967,37.36,EPSG:4326,POINT (126.967 37.36)
37.361,126.993,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.361,126.993,126.993,37.361,EPSG:4326,POINT (126.993 37.361)
37.368,126.967,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.368,126.967,126.967,37.368,EPSG:4326,POINT (126.967 37.368)
37.374,127.007,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.374,127.007,127.007,37.374,EPSG:4326,POINT (127.007 37.374)
37.378,126.998,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.378,126.998,126.998,37.378,EPSG:4326,POINT (126.998 37.378)
37.38,126.974,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.38,126.974,126.974,37.38,EPSG:4326,POINT (126.974 37.38)
37.382,127.0,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.382,127.0,127.0,37.382,EPSG:4326,POINT (127.0 37.382)
37.384,126.979,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.384,126.979,126.979,37.384,EPSG:4326,POINT (126.979 37.384)
37.384,126.998,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.384,126.998,126.998,37.384,EPSG:4326,POINT (126.998 37.384)
37.386,126.995,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.386,126.995,126.995,37.386,EPSG:4326,POINT (126.995 37.386)
37.386,126.996,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.386,126.996,126.996,37.386,EPSG:4326,POINT (126.996 37.386)
37.388,126.981,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.388,126.981,126.981,37.388,EPSG:4326,POINT (126.981 37.388)
37.388,127.005,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.388,127.005,127.005,37.388,EPSG:4326,POINT (127.005 37.388)
37.389,126.987,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.389,126.987,126.987,37.389,EPSG:4326,POINT (126.987 37.389)
37.389,127.008,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.389,127.008,127.008,37.389,EPSG:4326,POINT (127.008 37.389)
37.39,126.977,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.39,126.977,126.977,37.39,EPSG:4326,POINT (126.977 37.39)
37.39,126.992,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.39,126.992,126.992,37.39,EPSG:4326,POINT (126.992 37.39)
37.39,127.008,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.39,127.008,127.008,37.39,EPSG:4326,POINT (127.008 37.39)
37.391,126.981,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.391,126.981,126.981,37.391,EPSG:4326,POINT (126.981 37.391)
37.391,127.0,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.391,127.0,127.0,37.391,EPSG:4326,POINT (127.0 37.391)
37.392,127.011,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.392,127.011,127.011,37.392,EPSG:4326,POINT (127.011 37.392)
37.393,126.982,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.393,126.982,126.982,37.393,EPSG:4326,POINT (126.982 37.393)
37.393,126.987,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.393,126.987,126.987,37.393,EPSG:4326,POINT (126.987 37.393)
37.393,127.013,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.393,127.013,127.013,37.393,EPSG:4326,POINT (127.013 37.393)
37.393,127.018,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.393,127.018,127.018,37.393,EPSG:4326,POINT (127.018 37.393)
37.394,127.016,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.394,127.016,127.016,37.394,EPSG:4326,POINT (127.016 37.394)
37.394,127.018,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.394,127.018,127.018,37.394,EPSG:4326,POINT (127.018 37.394)
37.394,127.02,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.394,127.02,127.02,37.394,EPSG:4326,POINT (127.02 37.394)
37.395,127.038,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.395,127.038,127.038,37.395,EPSG:4326,POINT (127.038 37.395)
37.401,126.843,사망밀집,사망교통사고현황.csv,,,1.0,1.0,3.0,43.93939393939394,False,WGS84,37.401,126.843,126.843,37.401,EPSG:4326,POINT (126.843 37.401)
