위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.378,126.998,사고다발,3.0,150.0,,564.5127839007158,핫스팟 + CCTV 150m 미커버,WGS84,37.378,126.998,126.998,37.378,EPSG:4326,POINT (126.998 37.378)
37.38,126.974,사고다발,3.0,150.0,,1734.4485277539652,핫스팟 + CCTV 150m 미커버,WGS84,37.38,126.974,126.974,37.38,EPSG:4326,POINT (126.974 37.38)
37.384,126.979,사고다발,3.0,150.0,,1236.0841181573558,핫스팟 + CCTV 150m 미커버,WGS84,37.384,126.979,126.979,37.384,EPSG:4326,POINT (126.979 37.384)
37.384,126.998,사고다발,3.0,150.0,,153.79871726178206,핫스팟 + CCTV 150m 미커버,WGS84,37.384,126.998,126.998,37.384,EPSG:4326,POINT (126.998 37.384)
37.386,126.995,사고다발,3.0,150.0,,358.4476326947622,핫스팟 + CCTV 150m 미커버,WGS84,37.386,126.995,126.995,37.386,EPSG:4326,POINT (126.995 37.386)
37.386,126.996,사고다발,3.0,150.0,,326.5876022738676,핫스팟 + CCTV 150m 미커버,WGS84,37.386,126.996,126.996,37.386,EPSG:4326,POINT (126.996 37.386)
37.388,126.981,사고다발,3.0,150.0,,769.2536539336522,핫스팟 + CCTV 150m 미커버,WGS84,37.388,126.981,126.981,37.388,EPSG:4326,POINT (126.981 37.388)
37.388,127.005,사고다발,3.0,150.0,,721.9960644852889,핫스팟 + CCTV 150m 미커버,WGS84,37.388,127.005,127.005,37.388,EPSG:4326,POINT (127.005 37.388)
37.389,126.987,사고다발,3.0,150.0,,499.46710511159154,핫스팟 + CCTV 150m 미커버,WGS84,37.389,126.987,126.987,37.389,EPSG:4326,POINT (126.987 37.389)
37.389,127.008,사고다발,3.0,150.0,,741.4695530529043,핫스팟 + CCTV 150m 미커버,WGS84,37.389,127.008,127.008,37.389,EPSG:4326,POINT (127.008 37.389)
37.39,126.977,사고다발,3.0,150.0,,910.8633133456168,핫스팟 + CCTV 150m 미커버,WGS84,37.39,126.977,126.977,37.39,EPSG:4326,POINT (126.977 37.39)
37.39,126.992,사고다발,3.0,150.0,,451.2560190681159,핫스팟 + CCTV 150m 미커버,WGS84,37.39,126.992,126.992,37.39,EPSG:4326,POINT (126.992 37.39)
37.39,127.008,사고다발,3.0,150.0,,675.8552305509305,핫스팟 + CCTV 150m 미커버,WGS84,37.39,127.008,127.008,37.39,EPSG:4326,POINT (127.008 37.39)
37.391,126.981,사고다발,3.0,150.0,,545.7589626507037,핫스팟 + CCTV 150m 미커버,WGS84,37.391,126.981,126.981,37.391,EPSG:4326,POINT (126.981 37.391)
37.391,127.0,사고다발,3.0,150.0,,363.7379823405744,핫스팟 + CCTV 150m 미커버,WGS84,37.391,127.0,127.0,37.391,EPSG:4326,POINT (127.0 37.391)
37.392,127.011,사고다발,3.0,150.0,,335.9768719978564,핫스팟 + CCTV 150m 미커버,WGS84,37.392,127.011,127.011,37.392,EPSG:4326,POINT (127.011 37.392)
37.393,126.982,사고다발,3.0,150.0,,387.2275990207433,핫스팟 + CCTV 150m 미커버,WGS84,37.393,126.982,126.982,37.393,EPSG:4326,POINT (126.982 37.393)
37.393,127.018,사고다발,3.0,150.0,,314.3966936846896,핫스팟 + CCTV 150m 미커버,WGS84,37.393,127.018,127.018,37.393,EPSG:4326,POINT (127.018 37.393)
37.394,127.016,사고다발,3.0,150.0,,159.24394948770345,핫스팟 + CCTV 150m 미커버,WGS84,37.394,127.016,127.016,37.394,EPSG:4326,POINT (127.016 37.394)
37.394,127.018,사고다발,3.0,150.0,,323.67576611068034,핫스팟 + CCTV 150m 미커버,WGS84,37.394,127.018,127.018,37.394,EPSG:4326,POINT (127.018 37.394)
37.394,127.02,사고다발,3.0,150.0,,496.5967992304575,핫스팟 + CCTV 150m 미커버,WGS84,37.394,127.02,127.02,37.394,EPSG:4326,POINT (127.02 37.394)
37.401,126.843,사고다발,3.0,150.0,,11630.778896489288,핫스팟 + CCTV 150m 미커버,WGS84,37.401,126.843,126.843,37.401,EPSG:4326,POINT (126.843 37.401)
