시도,시군구,사고(건),사망(명),부상(명),행정구역면적_㎢,인구수,세대수,사고_면적대비(건/㎢),사고_인구대비(건/명),사고_세대대비(건/세대),사고_인구1만명당(건),사고_세대1만세대당(건),지표매칭여부
경기,가평군,311,5,518,843.41,63392.0,33095.0,0.3687411816317094,0.0049059818273599195,0.009397189907841063,49.0598182735992,93.97189907841063,Y
경기,고양시,3489,31,4987,267.33,1074350.0,466481.0,13.051284928739761,0.0032475450272257643,0.007479404305855973,32.475450272257646,74.79404305855972,Y
경기,과천시,191,2,264,35.86,80198.0,28753.0,5.326268823201339,0.002381605526322352,0.006642785100685146,23.81605526322352,66.42785100685145,Y
경기,광명시,1094,8,1489,38.5,300501.0,124760.0,28.415584415584416,0.0036405868865661013,0.00876883616543764,36.40586886566101,87.6883616543764,Y
경기,광주시,2106,25,3059,430.99,412912.0,175938.0,4.886424278985591,0.005100360367342194,0.01197012583978447,51.00360367342194,119.7012583978447,Y
경기,구리시,787,4,1166,33.29,187853.0,81890.0,23.64073295283869,0.004189446002991701,0.009610453046770058,41.894460029917006,96.10453046770058,Y
경기,군포시,485,4,672,36.35,256995.0,111651.0,13.342503438789546,0.0018871962489542598,0.004343893023797368,18.871962489542597,43.438930237973686,Y
경기,김포시,1742,14,2611,276.55,511168.0,207331.0,6.299041764599529,0.0034078815575309877,0.008402023816988295,34.078815575309875,84.02023816988294,Y
경기,남양주시,1998,24,3039,459.99,739686.0,308853.0,4.343572686362747,0.0027011461620201,0.0064690969490340065,27.011461620201,64.69096949034007,Y
경기,동두천시,361,1,491,95.68,90778.0,43542.0,3.772993311036789,0.003976734451078455,0.00829084562032061,39.76734451078455,82.9084562032061,Y
경기,부천시,3115,12,4223,53.44,790444.0,342442.0,58.28967065868264,0.003940823132315509,0.009096430928449197,39.408231323155086,90.96430928449197,Y
경기,성남시,3487,23,5073,141.84,924494.0,409559.0,24.584038353073886,0.003771793002442417,0.008514035828781689,37.71793002442417,85.1403582878169,Y
경기,수원시,4720,24,6644,121.13,1227049.0,542000.0,38.96639973582102,0.0038466271518089335,0.008708487084870849,38.466271518089336,87.08487084870849,Y
경기,시흥시,2259,21,3494,131.46,557021.0,229833.0,17.183934276586033,0.00405550239578041,0.009828875748913342,40.5550239578041,98.28875748913342,Y
경기,안산시,3513,21,5126,144.92,666421.0,287889.0,24.24096052994756,0.005271442526571041,0.01220261975969905,52.71442526571042,122.0261975969905,Y
경기,안성시,1061,27,1798,554.34,212223.0,97100.0,1.9139878053180357,0.004999458117169204,0.010926879505664264,49.99458117169204,109.26879505664265,Y
경기,안양시,1269,11,1719,58.52,570685.0,240105.0,21.684894053315105,0.002223643516125358,0.005285187730367964,22.23643516125358,52.85187730367964,Y
경기,양주시,1270,7,1825,310.1,306764.0,132605.0,4.095453079651725,0.004139990350888631,0.00957731608913691,41.39990350888631,95.7731608913691,Y
경기,양평군,610,14,1039,877.8,128743.0,63680.0,0.6949191159717476,0.0047381216842857475,0.009579145728643216,47.38121684285748,95.79145728643216,Y
경기,여주시,548,12,863,608.3,119208.0,56841.0,0.9008712806181162,0.004597006912287766,0.009640928203233581,45.97006912287766,96.40928203233581,Y
경기,연천군,180,4,301,676.3,43919.0,22531.0,0.2661540736359604,0.004098453972084974,0.007988992943056234,40.984539720849746,79.88992943056235,Y
경기,오산시,970,11,1355,42.76,261653.0,115605.0,22.684752104770816,0.003707199993885031,0.008390640543229098,37.07199993885031,83.90640543229098,Y
경기,용인시,3466,31,5407,591.53,1112533.0,448954.0,5.859381603638024,0.0031154132057206393,0.007720167322264642,31.154132057206393,77.20167322264642,Y
경기,의왕시,429,2,639,53.96,161938.0,66223.0,7.950333580429948,0.00264916202497252,0.00647811183425698,26.4916202497252,64.7811183425698,Y
경기,의정부시,1442,10,1937,81.59,469796.0,212488.0,17.673734526289987,0.003069417364132517,0.006786265577350251,30.694173641325172,67.86265577350251,Y
경기,이천시,1060,18,1637,461.15,234302.0,106815.0,2.298601322780007,0.0045240757654650835,0.009923699854889294,45.240757654650835,99.23699854889294,Y
경기,파주시,1652,14,2228,682.61,543841.0,233887.0,2.420122764096629,0.0030376525491825736,0.007063239940655103,30.376525491825735,70.63239940655103,Y
경기,평택시,3084,31,4660,452.31,648679.0,293634.0,6.818332559527757,0.004754277539430135,0.010502870920942398,47.542775394301344,105.02870920942398,Y
경기,포천시,617,11,964,826.4,157393.0,73793.0,0.7466118102613747,0.003920123512481496,0.008361226674616834,39.20123512481496,83.61226674616834,Y
경기,하남시,1148,12,1592,93.08,330713.0,141010.0,12.333476579286636,0.003471287793343473,0.008141266576838523,34.71287793343473,81.41266576838522,Y
경기,화성시,3711,38,5587,844.17,1046247.0,428851.0,4.39603397419951,0.003546963575522797,0.008653355128004832,35.46963575522797,86.53355128004833,Y
