route_no,route_name_samples,selection_reason,row_count,vol_mean,vol_min,vol_max,spd_mean,spd_min,spd_max,trvlTime_mean,trvlTime_min,trvlTime_max
1,경부고속도로 | 국도 1호선 | 국도 1호선(서울~파주) | 국도 1호선(평택~안양),route_no_ref_match,1558,3.338,0.0,107.0,40.89,5.0,99.0,32.979,1.0,747.0
47,국도 47호선(서울~포천) | 국도 47호선(안산~서울),route_no_ref_match,949,0.325,0.0,39.0,43.276,5.0,83.0,24.483,1.0,203.0
17,국도 17호선 | 비봉매송간고속화도로 | 서울문산고속도로 | 수원광명고속도로 | 익산평택고속도로 | 평택화성고속도로,route_no_ref_match,806,0.937,0.0,59.0,60.777,5.0,104.0,27.718,1.0,421.0
100,수도권 제1순환고속도로,route_no_ref_match,542,15.786,0.0,95.0,64.928,10.0,100.0,44.817,1.0,341.0
50,영동고속도로,route_no_ref_match,409,1.658,0.0,71.0,60.946,9.0,100.0,51.225,2.0,714.0
57,서현로 | 안양판교로/관악대로 | 태재로/서현로,route_no_ref_match,205,0.0,0.0,0.0,35.356,8.0,75.0,29.722,1.0,178.0
110,제2경인고속도로 | 제2경인고속도로(안양성남),route_no_ref_match,194,4.588,0.0,87.0,70.789,7.0,101.0,48.552,3.0,540.0
309,봉담과천로,route_no_ref_match,131,0.0,0.0,0.0,57.511,14.0,90.0,25.275,2.0,123.0
