road_name,highway,segment_count,total_length_m,total_length_km
어내들로,tertiary,1,341.4,0.341
장안남북로,residential,2,340.86,0.341
내손중앙7길,living_street,1,340.76,0.341
찬우물길,residential,1,340.2,0.34
골사그내길,service,2,335.86,0.336
왕송못동로,service,3,334.21,0.334
행복마을3로,residential,4,334.0,0.334
한밭들길,residential,1,333.57,0.334
흥안대로362번길,residential,2,332.45,0.332
등칙골길,residential,1,330.46,0.33
부곡초등1길,residential,2,325.15,0.325
새롬길,residential,1,323.59,0.324
오전동길,residential,1,319.4,0.319
솔밭길,residential,3,318.67,0.319
사천2길,residential,1,317.93,0.318
신장승길,residential,1,313.15,0.313
산본로77번길,residential,1,310.47,0.31
평촌지하도로,primary,1,306.2,0.306
오리나무1길,residential,1,303.99,0.304
부곡시장3길,residential,3,301.89,0.302
청계1로,residential,2,299.38,0.299
가구단지길,tertiary,1,298.92,0.299
부곡중앙북9길,residential,2,298.28,0.298
금천말안길,residential,1,297.89,0.298
정우길,residential,1,297.71,0.298
왕곡로,residential,1,294.39,0.294
전주남이2길,residential,1,292.77,0.293
사그내1길,residential,1,292.66,0.293
장안중앙로,residential,1,291.3,0.291
원골로,residential,1,289.58,0.29
오매기가운데말길,residential,1,287.55,0.288
왕소나무길,tertiary,2,286.24,0.286
정우1길,living_street,1,284.57,0.285
찬우물1길,residential,1,279.78,0.28
오리나무2길,residential,1,279.63,0.28
큰벌고개길,residential,1,272.14,0.272
봇들4길,residential,3,271.58,0.272
약수터길,residential,1,271.16,0.271
송마루길,residential,1,269.94,0.27
오봉산길,residential,1,267.89,0.268
민백길,residential,1,263.3,0.263
한직골서길,residential,1,263.1,0.263
부곡초등길,tertiary,1,261.53,0.262
한직골남로,residential,1,259.41,0.259
옥박골서길,living_street,1,256.52,0.257
한직골길,residential,1,256.27,0.256
부곡시장5길,residential,2,253.28,0.253
찬우물3길,residential,1,253.28,0.253
옥박골동길,residential,3,252.91,0.253
골사그내길,residential,2,248.07,0.248
사천로,tertiary,1,247.66,0.248
고천길,residential,1,247.41,0.247
등칙골5길,residential,1,246.52,0.247
장안남북로1길,residential,2,245.54,0.246
한밭들1길,service,1,243.81,0.244
정우2길,living_street,1,241.59,0.242
전주남이4길,residential,2,241.48,0.241
부곡중앙남5길,residential,1,240.81,0.241
부곡사길,unclassified,2,236.63,0.237
까치골1길,residential,3,231.47,0.231
갈미안로,tertiary,1,230.52,0.231
