city_kr,stop_name_kr,stop_name_en,stop_id,stop_code,stop_type,road_addr_raw,jibun_addr_raw,lon,lat
의왕시,LG아파트,LG Apartment ,226000003,27045,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9669167,37.3672
의왕시,가구골목(마을),Furniture Alley ,226000244,27234,노변정류장,경기도 의왕시,,126.9663667,37.36235
의왕시,가구골목(마을),Furniture Alley ,226000245,27235,노변정류장,경기도 의왕시,,126.96625,37.3623
의왕시,가구단지입구,Furniture Stores Complex ,226000045,27156,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9627,37.36085
의왕시,가구단지입구,Furniture Stores Complex ,226000166,27159,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9661,37.3634833
의왕시,가구단지입구,Furniture Stores Complex ,226000124,27134,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9642333,37.36
의왕시,가구단지입구,Furniture Stores Complex ,226000167,27160,노변정류장,경기도 의왕시,경기도 안양시 동안구 호계동,126.9658833,37.3635333
의왕시,갈뫼중학교.내손1동주민센터,"Glamoe Middle School, Naeson 1-dong Community Center",226000128,27072,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9752667,37.3773
의왕시,갈뫼중학교.내손1동주민센터,"Galmoe Middle School, Naeson 1-dong Community Center",226000064,27078,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9759667,37.3779
의왕시,갈뫼초등학교,Galmoe Elementary School ,226000065,27069,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9731667,37.3760667
의왕시,갈뫼초등학교,Galmoe Elementary School ,226000127,27065,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9723,37.3761833
의왕시,강진마을,Gangjin Maeul ,226000388,27374,노변정류장,경기도 의왕시,,126.9350333,37.3196833
의왕시,경기외고,Gyeonggi Academy of Foreign Languages,226000037,27038,노변정류장,경기도 의왕시,경기도 군포시 당정동,126.9610167,37.3517167
의왕시,경기외고,Gyeonggi Academy of Foreign Languages,226000027,27037,노변정류장,경기도 의왕시,경기도 군포시 당정동,126.9610667,37.3518333
의왕시,경기외국어고등학교,,226508770,,,,,126.9582667,37.3466667
의왕시,계원예술대학교,Kaywon University of Art and Design ,226000123,27081,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9752833,37.3796833
의왕시,계원예술대학교,Kaywon University of Art and Design ,226000140,27070,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.97515,37.3791833
의왕시,고고리마을입구,Solgeo Wonhyo Apartment ,226000041,27087,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9776667,37.3420167
의왕시,고천,Gocheon ,226000035,27064,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9721333,37.3497833
의왕시,고천.의왕시청,"Gocheon, Uiwang City Hall",226000042,27140,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9739,37.3478
의왕시,고천.의왕시청,"Gocheon, Uiwang City Hall",226000048,27136,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9739667,37.3485167
의왕시,고천다목적체육관,Gocheon Multi-Purpose Sports Center,226000225,27219,노변정류장,경기도 의왕시,경기도 의왕시 왕곡동,126.9820167,37.3477667
의왕시,고천동주민센터,Gocheon Police Box,226000049,27137,노변정류장,경기도 의왕시,,126.9751833,37.3462833
의왕시,고천중학교,Gocheon Middle School,226000322,27312,노변정류장,경기도 의왕시,,126.9824167,37.352
의왕시,고천중학교,Gocheon High School,226000321,27311,노변정류장,경기도 의왕시,,126.98285,37.352
의왕시,고천체육공원,Gocheon Sports Park ,226000235,27381,노변정류장,경기도 의왕시,경기도 의왕시 왕곡동,126.9818333,37.3466667
의왕시,고천체육공원,Gocheon Sports Park,226000177,27175,노변정류장,경기도 의왕시,경기도 의왕시 왕곡동,126.9826167,37.34595
의왕시,고천체육공원,Gocheon Sports Park,226000315,27305,노변정류장,경기도 의왕시,,126.98255,37.3457667
의왕시,고천파출소,Gocheon Police Box,226000125,27073,노변정류장,경기도 의왕시,,126.9749333,37.3459
의왕시,골사그네,Golsageune,226000040,27141,노변정류장,경기도 의왕시,경기도 의왕시 왕곡동,126.98035,37.3349
의왕시,골사그네,Golsageune,226000051,27103,노변정류장,경기도 의왕시,경기도 의왕시 왕곡동,126.98085,37.3354667
의왕시,과천터널진입(경유),,277103200,,,,,127.00175,37.40185
의왕시,괴말,Goemal,226000096,27019,노변정류장,경기도 의왕시,경기도 의왕시 이동,126.9551667,37.3313833
의왕시,괴말,Woosung Apartment Security Office ,226000389,27375,노변정류장,경기도 의왕시,,126.9597167,37.3267667
의왕시,괴말,Goemal,226000083,27020,노변정류장,경기도 의왕시,경기도 의왕시 이동,126.9550333,37.3316333
의왕시,괴말,Goemal,226000308,27298,노변정류장,경기도 의왕시,,126.9596667,37.3267167
의왕시,교동,Gyodong,226000086,27041,노변정류장,경기도 의왕시,경기도 의왕시 이동,126.9644667,37.33615
