grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
383,126.9821436,37.39371805,372.95,147.38,628.88,120.19,501.8,0.004663,0.937454,1.0,1.0,0.902536,0.972871,39.195,665,False
415,126.98456815,37.39160113,259.47,95.86,422.3,261.6,378.21,0.0,0.995365,1.0,0.954823,0.958283,0.979262,39.17,666,False
229,126.96794147,37.34645867,478.52,253.79,1062.63,215.8,732.04,0.059625,0.817826,0.886978,0.984454,0.798679,0.889146,39.143,667,False
213,126.96574264,37.3665525,151.99,109.2,860.29,161.5,244.8,0.0,0.98037,0.945933,1.0,1.0,0.97715,39.086,668,False
185,126.96287656,37.36145295,385.84,68.7,371.92,317.3,528.06,0.011374,1.0,1.0,0.918793,0.890689,0.959241,39.052,669,False
238,126.96779829,37.36673904,164.15,93.32,904.87,147.9,145.0,0.0,0.998219,0.932944,1.0,1.0,0.976174,39.047,670,False
300,126.97644021,37.34198969,478.19,108.68,1621.94,107.23,504.9,0.059453,0.980954,0.724019,1.0,0.901134,0.884767,38.958,671,False
147,126.95963548,37.3238865,329.38,63.24,931.75,109.77,189.49,0.0,1.0,0.925114,1.0,1.0,0.97379,38.952,672,False
675,127.00716164,37.39169746,668.6,391.05,2195.49,245.08,758.23,0.158576,0.663528,0.55691,0.965511,0.786864,0.735307,38.927,673,False
791,127.01850166,37.38498386,985.6,203.18,3180.82,850.68,1843.94,0.323605,0.874724,0.269821,0.573767,0.297126,0.486081,38.86,674,False
92,126.95112142,37.33060767,593.58,204.18,1445.83,447.27,1109.02,0.119523,0.873595,0.775331,0.834719,0.628633,0.790795,38.803,675,False
154,126.95952249,37.33966016,761.3,544.26,1968.83,559.26,808.2,0.206839,0.491295,0.622948,0.762274,0.764326,0.659622,38.795,676,False
209,126.96503904,37.35771282,183.59,97.09,126.09,169.3,720.92,0.0,0.993983,1.0,1.0,0.803694,0.969351,38.774,677,False
234,126.96786194,37.35772555,219.29,98.19,183.87,264.61,509.84,0.0,0.992754,1.0,0.952879,0.898906,0.96925,38.77,678,False
919,127.03813107,37.40759653,1529.26,1125.87,5356.76,1433.1,3827.52,0.606632,0.0,0.0,0.197011,0.0,0.059103,38.762,679,False
575,126.99877908,37.3781416,538.93,16.84,1794.46,61.4,1106.4,0.091073,1.0,0.673752,1.0,0.629814,0.830285,38.676,680,False
457,126.98942916,37.33116956,999.79,515.11,3207.83,590.44,1745.21,0.330992,0.524065,0.261952,0.74211,0.34166,0.470378,38.675,681,False
765,127.01567772,37.38497233,925.85,188.37,2932.56,830.94,1722.53,0.292503,0.891371,0.342155,0.586531,0.35189,0.526772,38.621,682,False
167,126.96247316,37.32164596,425.72,296.15,980.17,131.79,371.35,0.032138,0.770211,0.911006,1.0,0.961376,0.917101,38.612,683,False
144,126.95968388,37.31712634,397.46,298.0,628.45,248.28,343.27,0.017427,0.768127,1.0,0.963444,0.974044,0.938765,38.596,684,False
711,127.00992715,37.40072269,919.83,278.85,2782.83,935.57,1287.8,0.28937,0.789658,0.385781,0.518851,0.547989,0.530809,38.595,685,False
184,126.96265514,37.35989949,318.22,105.53,275.6,232.12,643.58,0.0,0.9845,1.0,0.973897,0.83858,0.964856,38.594,686,False
107,126.95400852,37.32160721,326.59,44.28,458.03,343.01,372.0,0.0,1.0,1.0,0.902162,0.961083,0.964811,38.592,687,False
303,126.97639327,37.34874983,263.2,127.77,942.17,160.6,69.85,0.0,0.959497,0.922076,1.0,1.0,0.964626,38.585,688,False
253,126.97073231,37.35097809,303.24,181.57,537.3,218.01,445.11,0.0,0.899018,1.0,0.98302,0.928105,0.963926,38.557,689,False
