grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_school_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_road_m,nearest_road_way_id,nearest_road_name,nearest_road_highway,nearest_road_vol_mean,score_cctv_gap_0_1,score_school_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_road_proximity_0_1,score_traffic_0_1,total_score_equal_0_100,total_score_weighted_0_100,min_cctv_gap_m,max_road_dist_m
70,126.94836544,37.32158103,612.35,639.37,39.96,578.07,177.92,16.29,471692508,,footway,0.0,0.327716,0.84048,1.0,1.0,1.0,0.935726,0.5,80.056,81.204,200.0,150.0
71,126.94834896,37.32383441,852.31,884.48,104.31,785.43,358.69,0.33,488779084,철도박물관로,tertiary,0.0,0.50924,0.729919,0.985868,0.967744,0.892022,1.0,0.5,79.783,78.107,200.0,150.0
87,126.95120336,37.31934077,336.57,385.73,96.03,227.48,95.43,3.33,461776049,부곡시장길,residential,0.0,0.119093,0.95489,0.995174,1.0,1.0,1.0,0.5,79.559,80.819,200.0,150.0
105,126.95404112,37.31710044,318.73,368.56,17.57,139.02,86.58,7.65,568664981,부곡중앙남6길,residential,0.0,0.105593,0.962636,1.0,1.0,1.0,0.988063,0.5,79.376,80.866,200.0,150.0
88,126.95118698,37.32159415,576.02,622.0,76.77,457.69,110.26,20.94,155788510,부곡중앙북3길,residential,0.0,0.300233,0.848314,1.0,1.0,1.0,0.907523,0.5,79.372,81.067,200.0,150.0
304,126.97637762,37.35100321,306.34,134.62,101.36,746.12,199.48,7.37,378665861,전주남이2길,residential,0.0,0.096225,1.0,0.989183,0.979199,0.995007,0.989796,0.5,79.277,80.57,200.0,150.0
104,126.95405742,37.31484706,342.42,268.02,176.25,334.05,164.3,3.91,155793710,,service,0.0,0.123517,1.0,0.905,1.0,1.0,1.0,0.5,78.979,80.27,200.0,150.0
412,126.98461443,37.38484103,530.29,349.18,64.39,393.57,523.68,0.62,379077653,정우1길,living_street,0.0,0.265639,0.97138,1.0,1.0,0.785289,1.0,0.5,78.89,77.704,200.0,150.0
348,126.97896658,37.38481628,346.77,51.15,28.04,223.45,82.87,23.1,379044918,복지로,tertiary,0.0,0.126807,1.0,1.0,1.0,1.0,0.8944,0.5,78.874,81.537,200.0,150.0
59,126.94620521,37.32151617,691.42,703.27,159.95,713.33,360.97,8.99,839286568,,service,0.0,0.387529,0.811656,0.923319,0.988751,0.890547,0.979991,0.5,78.311,77.724,200.0,150.0
215,126.96568173,37.37115181,636.8,175.96,125.94,1370.32,386.64,3.21,498553990,모락로,tertiary,0.0,0.34621,1.0,0.961554,0.797332,0.873943,1.0,0.5,78.272,75.798,200.0,150.0
413,126.98459901,37.3870944,351.75,178.68,42.15,194.19,348.31,14.45,82626307,내손순환로,tertiary,0.0,0.130574,1.0,1.0,1.0,0.898736,0.946841,0.5,78.231,79.369,200.0,150.0
517,126.9930407,37.39163776,377.3,325.39,158.31,990.72,170.47,3.47,381700266,양지편로,residential,0.0,0.149904,0.982111,0.925162,0.907932,1.0,1.0,0.5,78.073,78.527,200.0,150.0
103,126.95407371,37.31259367,358.56,364.46,87.67,573.46,414.12,4.74,452600815,,unclassified,0.0,0.135728,0.964485,1.0,1.0,0.856163,1.0,0.5,77.948,78.025,200.0,150.0
303,126.97639327,37.34874983,263.2,69.85,127.77,942.17,160.6,3.28,378314624,사그내1길,residential,0.0,0.063586,1.0,0.959497,0.922076,1.0,1.0,0.5,77.788,78.765,200.0,150.0
106,126.95402482,37.31935382,346.38,447.64,188.14,228.17,184.67,0.13,155788517,부곡중앙남6길,residential,0.0,0.126511,0.926963,0.891636,1.0,1.0,1.0,0.5,77.787,79.169,200.0,150.0
233,126.96787785,37.35547218,254.9,408.58,147.75,174.09,182.13,1.06,280678694,옻우물길,residential,0.0,0.057311,0.944583,0.937039,1.0,1.0,1.0,0.5,77.699,79.389,200.0,150.0
168,126.96245711,37.32389935,414.06,391.03,151.3,1115.11,148.49,5.72,571384233,,residential,0.0,0.177714,0.9525,0.933049,0.87169,1.0,0.999814,0.5,77.64,77.698,200.0,150.0
448,126.98740768,37.38936004,381.68,210.78,287.92,433.88,17.89,6.34,82626318,학의로,tertiary,0.0,0.153217,1.0,0.779463,1.0,1.0,0.996018,0.5,77.553,78.891,200.0,150.0
396,126.98486099,37.34878701,445.0,375.5,39.73,1492.38,135.59,0.84,580162098,의왕휴게소,services,0.0,0.201117,0.959504,1.0,0.761768,1.0,1.0,0.5,77.463,76.476,200.0,150.0
264,126.97055819,37.37576519,498.52,189.34,67.42,1026.65,533.68,3.99,379044921,갈미1로,residential,0.0,0.241604,1.0,1.0,0.897463,0.778824,1.0,0.5,77.398,75.498,200.0,150.0
