grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
635,127.00447092,37.37140526,1367.57,220.27,2665.92,366.53,264.78,0.522458,0.855516,0.419844,0.886947,1.0,0.734133,60.713,239,True
58,126.94556721,37.31930333,1097.38,81.3,651.85,451.79,543.51,0.381801,1.0,1.0,0.831794,0.883721,0.932096,60.192,245,True
57,126.945577,37.31706109,1137.91,147.87,627.21,597.63,416.28,0.402897,0.936902,1.0,0.737458,0.94111,0.899784,60.165,246,True
430,126.98768356,37.34879927,1254.49,277.84,1709.88,336.72,573.58,0.463589,0.790798,0.698397,0.906229,0.870154,0.80499,60.015,249,True
379,126.98179051,37.38482869,1039.14,141.02,370.36,288.73,301.02,0.351481,0.944599,1.0,0.937274,0.9931,0.969067,59.852,253,True
409,126.98466069,37.37808092,1396.56,666.21,847.32,854.61,873.99,0.537552,0.354209,0.949712,0.571219,0.734648,0.684804,59.645,256,True
667,127.00727961,37.37367043,1257.77,96.46,2694.01,94.04,305.14,0.4653,0.994691,0.411661,1.0,0.991245,0.791706,59.586,257,True
321,126.97624612,37.38920568,1010.95,170.64,277.65,97.98,314.19,0.336805,0.911298,1.0,1.0,0.987163,0.980334,59.422,261,True
431,126.98766825,37.35105265,1264.38,355.32,1610.18,485.16,439.32,0.468739,0.703693,0.727444,0.810208,0.930718,0.778014,59.245,263,True
508,126.99317721,37.3713574,1395.78,41.93,1907.36,884.74,1260.2,0.537144,1.0,0.640858,0.551729,0.560436,0.673884,59.184,264,True
45,126.9427889,37.31254107,1337.18,283.83,1038.08,1076.16,750.19,0.506637,0.784056,0.894133,0.427909,0.790491,0.716704,59.066,265,True
603,127.00164749,37.37139339,1304.7,19.09,2492.87,537.45,511.97,0.489727,1.0,0.470264,0.776387,0.897949,0.732201,58.672,270,True
349,126.97895099,37.38706965,965.0,94.4,356.72,220.78,259.07,0.312885,0.997012,1.0,0.981231,1.0,0.993772,58.524,272,True
314,126.97622102,37.37353696,1221.33,389.74,1074.44,682.5,457.56,0.446326,0.664996,0.883539,0.682552,0.922491,0.785377,58.195,277,True
463,126.99053659,37.34430469,1299.26,67.08,2186.82,681.46,894.94,0.486895,1.0,0.559435,0.683231,0.725196,0.709551,57.596,280,True
