grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag,score_class
101,126.9541063,37.3080869,720.71,174.92,1066.95,914.06,793.62,0.409684,0.906496,0.88572,0.532768,0.770903,0.761026,56.779,199,True,High
83,126.95126889,37.31032724,671.01,331.93,819.03,713.09,636.22,0.372087,0.729988,0.957955,0.662768,0.841899,0.800594,56.492,207,True,High
412,126.98461443,37.38484103,530.29,64.39,393.57,523.68,349.18,0.265639,1.0,1.0,0.785289,0.97138,0.929863,56.454,208,True,High
286,126.97339753,37.37352442,649.97,282.79,1130.21,668.81,358.95,0.356177,0.785232,0.867291,0.691408,0.966972,0.81805,56.402,209,True,High
336,126.97915357,37.35777581,721.5,472.73,796.99,892.91,510.9,0.410288,0.571707,0.964377,0.546447,0.898429,0.747274,56.193,211,True,High
314,126.97622102,37.37353696,678.15,389.74,1074.44,682.5,457.56,0.377494,0.664996,0.883539,0.682552,0.922491,0.787325,56.192,212,True,High
427,126.98772949,37.34203911,796.29,327.0,2160.25,705.25,730.02,0.46686,0.735536,0.567176,0.667836,0.799592,0.677529,56.166,214,True,High
90,126.9511542,37.32610091,616.77,267.71,948.66,468.03,758.23,0.331061,0.802177,0.920187,0.821291,0.786865,0.840252,56.02,215,True,High
204,126.96511899,37.34644594,659.24,491.31,1124.64,461.05,485.47,0.363184,0.550816,0.868914,0.825807,0.909899,0.800559,56.0,217,True,High
480,126.99027754,37.38261214,707.27,614.35,898.63,576.0,645.69,0.399521,0.4125,0.934762,0.751447,0.837628,0.755888,55.989,219,True,High
216,126.9671592,37.3180783,741.45,843.8,1289.27,97.72,885.06,0.425379,0.154571,0.820945,1.0,0.729655,0.723129,55.937,220,True,High
646,127.00430777,37.3961924,712.12,79.83,2107.86,696.85,586.87,0.403188,1.0,0.582442,0.673271,0.86416,0.749546,55.905,221,True,High
569,126.99886902,37.36462132,813.6,120.38,2695.86,684.05,1029.13,0.479961,0.967804,0.411119,0.681553,0.664669,0.654296,55.841,222,True,High
206,126.96508702,37.3509527,553.38,102.4,629.93,566.38,653.98,0.283102,0.988021,1.0,0.757672,0.83389,0.891684,55.696,223,True,High
54,126.94562665,37.31030094,801.33,582.73,1022.34,1009.21,743.49,0.470672,0.448048,0.898718,0.471217,0.793512,0.659292,55.555,228,True,High
110,126.95395961,37.32836735,527.46,127.88,1197.08,134.35,762.83,0.263493,0.959372,0.847807,1.0,0.784789,0.903174,55.135,237,True,High
196,126.96524681,37.3284189,768.38,516.34,1638.37,648.6,894.38,0.445748,0.522684,0.719233,0.704483,0.725453,0.676742,54.97,241,True,High
305,126.97636197,37.35325659,462.46,65.96,592.19,422.84,152.07,0.214323,1.0,1.0,0.850523,1.0,0.955157,54.77,246,True,High
188,126.96536657,37.31039734,774.98,472.31,1385.57,884.21,883.85,0.450739,0.572184,0.792889,0.552072,0.730202,0.663966,54.669,247,True,High
343,126.97904452,37.37354943,708.77,533.87,1075.39,780.58,576.94,0.400652,0.502974,0.883262,0.619107,0.868641,0.725034,54.662,248,True,High
195,126.96526278,37.32616552,671.14,470.31,1466.8,432.86,731.37,0.372189,0.574431,0.76922,0.84404,0.79898,0.75866,54.61,249,True,High
155,126.95950634,37.34191354,768.26,533.94,1733.44,783.3,558.29,0.445661,0.502893,0.691533,0.617353,0.877055,0.668655,54.601,250,True,High
207,126.96507103,37.35320607,526.09,196.76,387.69,441.22,680.76,0.262456,0.881942,1.0,0.838637,0.821808,0.892341,54.59,251,True,High
379,126.98179051,37.38482869,442.37,141.02,370.36,288.73,301.02,0.199124,0.944599,1.0,0.937274,0.9931,0.968722,54.544,252,True,High
615,127.00146849,37.39843389,771.42,366.01,2014.48,850.94,623.24,0.448049,0.691679,0.609647,0.573594,0.847757,0.66286,54.471,254,True,High
65,126.94844776,37.31031412,695.48,494.31,891.91,837.26,645.2,0.390598,0.54745,0.936722,0.582447,0.83785,0.732811,54.459,256,True,High
284,126.97342903,37.36901768,704.65,610.9,1335.74,608.17,511.88,0.397537,0.416388,0.807407,0.730635,0.897987,0.724288,54.457,257,True,High
344,126.97902894,37.3758028,572.09,357.27,827.74,583.36,418.16,0.297257,0.701501,0.955416,0.746685,0.940261,0.838983,54.103,259,True,High
463,126.99053659,37.34430469,702.87,67.08,2186.82,681.46,894.94,0.39619,1.0,0.559435,0.683231,0.725196,0.717839,54.093,260,True,High
430,126.98768356,37.34879927,598.43,277.84,1709.88,336.72,573.58,0.317186,0.790798,0.698397,0.906229,0.870154,0.813578,54.056,263,True,High
191,126.96526626,37.31716537,634.22,706.7,1121.78,150.67,769.94,0.344255,0.308694,0.869745,1.0,0.781582,0.778979,53.988,264,True,High
264,126.97055819,37.37576519,498.52,67.42,1026.65,533.68,189.34,0.241604,1.0,0.897463,0.778824,1.0,0.902886,53.918,267,True,High
514,126.99308622,37.38487765,554.98,463.25,978.82,231.9,655.3,0.284313,0.582368,0.9114,0.974036,0.833294,0.848763,53.832,268,True,High
