grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag,score_class
863,126.9352816,37.32043766,1428.48,86.53,1567.49,1324.98,1401.03,1.0,0.999347,0.734379,0.231036,0.469918,0.583477,81.256,1,False,Very High
862,126.93528362,37.32016725,1419.07,58.09,1561.63,1326.48,1390.56,0.994896,1.0,0.736119,0.230022,0.474873,0.584817,81.036,2,False,Very High
864,126.93527983,37.32070786,1438.42,115.75,1573.87,1324.14,1412.03,1.0,0.964688,0.732483,0.231604,0.464713,0.575106,80.88,3,False,Very High
793,126.93494909,37.31962482,1430.94,9.89,1581.26,1361.32,1400.0,1.0,1.0,0.730286,0.206366,0.470405,0.575077,80.878,4,False,Very High
794,126.93494707,37.31989523,1439.02,24.72,1585.91,1358.54,1409.12,1.0,1.0,0.728905,0.208253,0.466088,0.574365,80.846,5,False,Very High
8434,126.95825713,37.34702899,1229.57,40.2,1278.36,1072.2,125.81,0.842421,1.0,0.820273,0.402638,1.0,0.766873,80.842,6,True,Very High
792,126.93495112,37.31935442,1423.45,37.21,1577.17,1364.76,1391.47,0.998417,1.0,0.731502,0.204035,0.474444,0.57555,80.813,7,False,Very High
795,126.93494504,37.32016563,1447.68,54.08,1591.11,1356.42,1418.82,1.0,1.0,0.727359,0.209693,0.461498,0.573415,80.804,8,False,Very High
8602,126.95848078,37.34728974,1222.05,71.68,1243.3,1056.3,112.39,0.836373,1.0,0.830689,0.413434,1.0,0.773237,80.796,9,True,Very High
796,126.93494302,37.32043604,1456.9,83.89,1596.86,1354.96,1429.08,1.0,1.0,0.725651,0.210685,0.456642,0.572229,80.75,10,False,Very High
934,126.93561613,37.32098008,1421.03,152.86,1551.74,1294.03,1396.12,0.996471,0.920663,0.739056,0.252046,0.472244,0.575912,80.722,11,False,Very High
861,126.93528565,37.31989684,1410.24,32.58,1556.33,1328.65,1380.67,0.987789,1.0,0.737694,0.228549,0.479557,0.585784,80.689,12,False,Very High
933,126.93561816,37.32070968,1410.3,125.11,1544.66,1294.17,1384.31,0.987835,0.953585,0.74116,0.251952,0.477831,0.584217,80.621,13,False,Very High
865,126.93532842,37.3209578,1443.95,143.79,1575.92,1319.52,1418.58,1.0,0.931414,0.731872,0.234741,0.461608,0.568588,80.586,14,False,Very High
797,126.93498093,37.32064174,1460.99,106.43,1598.18,1350.8,1433.99,1.0,0.975739,0.72526,0.21351,0.454315,0.567642,80.544,15,False,Very High
935,126.93562218,37.32124497,1431.42,180.94,1558.52,1293.86,1407.56,1.0,0.887341,0.737042,0.252164,0.466828,0.567595,80.542,16,False,Very High
932,126.93562018,37.32043927,1400.12,98.68,1538.13,1295.0,1373.06,0.979649,0.984935,0.743099,0.251386,0.483156,0.591964,80.519,17,False,Very High
791,126.93495314,37.31908401,1416.55,66.86,1573.64,1368.84,1383.53,0.992866,1.0,0.732551,0.201264,0.478201,0.575785,80.518,18,False,Very High
725,126.93461457,37.3190824,1445.83,76.29,1603.46,1398.52,1412.56,1.0,1.0,0.72369,0.181115,0.464458,0.564333,80.395,19,False,Very High
726,126.93461254,37.3193528,1452.59,52.29,1606.93,1394.52,1420.34,1.0,1.0,0.722661,0.183827,0.460778,0.564102,80.385,20,False,Very High
866,126.9354059,37.32116636,1445.92,167.81,1574.85,1312.84,1421.46,1.0,0.902916,0.73219,0.239277,0.460245,0.564073,80.383,21,False,Very High
8433,126.95823319,37.34676276,1221.18,11.06,1304.0,1071.32,129.15,0.835674,1.0,0.812656,0.403231,1.0,0.764766,80.377,22,True,Very High
727,126.93461052,37.31962321,1459.93,38.05,1610.95,1391.16,1428.7,1.0,1.0,0.721467,0.186108,0.456821,0.563637,80.364,23,False,Very High
8601,126.95845341,37.34704658,1214.09,45.27,1266.98,1055.16,108.67,0.829972,1.0,0.823653,0.414205,1.0,0.771357,80.36,24,True,Very High
860,126.93528767,37.31962644,1401.99,23.4,1551.59,1331.49,1371.36,0.981154,1.0,0.739102,0.22662,0.483964,0.586509,80.356,25,False,Very High
728,126.93460849,37.31989361,1467.86,44.29,1615.51,1388.44,1437.64,1.0,1.0,0.720111,0.187954,0.45259,0.562938,80.332,26,False,Very High
729,126.93460647,37.32016402,1476.34,65.38,1620.62,1386.37,1447.14,1.0,1.0,0.718594,0.189364,0.44809,0.562005,80.29,27,False,Very High
